seed,step,position,net_worth
456,689,-1.0,10163.691655566527
456,690,-1.0,10166.019464833715
456,691,-1.0,10161.859788537351
456,692,-1.0,10158.759882211152
456,693,-1.0,10162.055321791164
456,694,-1.0,10167.73370978392
456,695,-1.0,10175.308417177526
456,696,-1.0,10191.307242758834
456,697,-1.0,10210.744890230355
456,698,-1.0,10226.77182240834
456,699,-1.0,10230.59902297693
456,700,-1.0,10229.860308925296
456,701,-1.0,10221.76531595152
456,702,-1.0,10222.485341274005
456,703,-1.0,10243.453393988235
456,704,-1.0,10273.485574894508
456,705,0.0,10270.40352922204
456,706,0.0,10270.40352922204
456,707,1.0,10225.721022025153
456,708,1.0,10194.533516330896
456,709,1.0,10168.821242518336
456,710,1.0,10126.907026248333
456,711,1.0,10105.50037846659
456,712,1.0,10085.031372772557
456,713,1.0,10070.788701660304
456,714,1.0,10041.201530864184
456,715,1.0,10025.05522014926
456,716,1.0,9995.174032937039
456,717,1.0,9980.212607273761
456,718,1.0,9959.668028661494
456,719,1.0,9941.462484148107
456,720,1.0,9926.765762427005
456,721,1.0,9921.96977515036
456,722,1.0,9918.306926793277
456,723,1.0,9924.132216806693
456,724,1.0,9935.902380383339
456,725,1.0,9951.319011518573
456,726,1.0,9961.954572226026
456,727,1.0,9972.356648384037
456,728,1.0,9979.030051088304
456,729,1.0,9987.02393131163
456,730,1.0,9994.419078883133
456,731,1.0,9995.167813028218
456,732,1.0,9991.098663413099
456,733,0.0,9988.101333814075
456,734,0.0,9988.101333814075
456,735,0.0,9988.101333814075
456,736,0.0,9988.101333814075
456,737,0.0,9988.101333814075
456,738,-1.0,9986.379751818444
456,739,-1.0,9990.397962741104
456,740,-1.0,9998.93516531756
456,741,-1.0,9993.187835473647
456,742,-1.0,9970.208579845857
456,743,-1.0,9945.207502999974
456,744,-1.0,9930.011411244817
456,745,-1.0,9904.933389161552
456,746,-1.0,9884.024939503572
456,747,-1.0,9874.526222555314
456,748,-1.0,9871.912944640155
456,749,-1.0,9861.993721533643
456,750,-1.0,9859.833676314378
456,751,-1.0,9861.720720087818
456,752,-1.0,9869.38529746048
456,753,-1.0,9871.772704432016
456,754,-1.0,9872.16668173549
456,755,-1.0,9869.353953036994
456,756,-1.0,9874.812715890852
456,757,-1.0,9873.56695107376
456,758,-1.0,9879.861956558883
456,759,-1.0,9896.9907990588
456,760,-1.0,9911.58255640975
456,761,-1.0,9914.374616533305
456,762,-1.0,9917.91347879723
456,763,-1.0,9912.921865198216
456,764,-1.0,9899.87625221196
456,765,-1.0,9890.624858049021
456,766,-1.0,9886.847070576425
